CAM,x,y,z,est. x,est. y,est. z, distance, re-projection error
1,-15.10,-17.90,6.20,-14.23,-16.56,5.49,1.75,0.429
2,0.00,-17.90,6.20,-1.28,-17.47,5.85,1.39,0.212
3,-22.30,-10.20,6.60,-23.99,-11.26,7.04,2.04,0.456
4,14.80,-18.10,6.20,18.51,-24.85,8.43,8.02,0.487
5,-22.00,10.20,6.80,-21.83,9.74,5.73,1.17,0.347
6,0.00,10.20,6.35,-0.10,9.15,5.46,1.38,0.068
7,24.80,0.00,6.40,67.35,2.20,17.86,44.13,0.378
8,22.00,10.00,6.35,21.76,9.72,6.12,0.43,0.460
12,24.80,-10.00,6.90,18.12,-10.05,7.81,6.74,0.168
13,-22.00,0.00,7.05,-31.34,0.64,9.79,9.75,0.288
